Es/No [dB]             BER bez kodowania              BER z kodowaniem
-2                      0,118992                      0,150169
-1,8                      0,107823                      0,116655
-1,6                      0,135026                      0,170234
-1,4                      0,102271                      0,112426
-1,2                      0,123715                      0,153243
-1                      0,105519                      0,138723
-0,8                      0,054981                     0,0489063
-0,6                      0,141147                      0,147084
-0,4                     0,0975463                      0,127784
-0,2                      0,100937                       0,10165
2,98023e-08                     0,0654258                     0,0804633
0,2                     0,0931967                      0,124167
0,4                     0,0724558                     0,0800566
0,6                     0,0725473                     0,0932266
0,8                     0,0584453                     0,0794633
1                     0,0622191                     0,0888459
1,2                     0,0396196                     0,0479225
1,4                     0,0436601                     0,0383701
1,6                     0,0560809                     0,0628291
1,8                     0,0303618                     0,0241681
2                     0,0369073                     0,0271779
2,2                     0,0285128                     0,0209865
2,4                     0,0189967                    0,00185263
2,6                     0,0369161                     0,0321196
2,8                     0,0501553                     0,0413306
3                     0,0310583                      0,024687
3,2                     0,0249118                      0,010888
3,4                    0,00797324                             0
3,6                     0,0120007                     0,0144785
3,8                    0,00403093                             0
4                     0,0120499                    0,00970683
4,2                     0,0187393                     0,0240474
4,4                     0,0171112                    0,00971275
4,6                     0,0158277                    0,00952242
4,8                    0,00803986                    0,00485742
5                    0,00393266                             0
5,2                   5,45172e-05                             0
5,4                    0,00398359                             0
5,6                     0,0039979                             0
5,8                             0                             0
6                             0                             0
6,2                     0,0040351                             0
6,4                             0                             0
6,6                    0,00400572                             0
6,8                    0,00400569                             0
7                             0                             0
7,2                    0,00399245                             0
7,4                             0                             0
7,6                             0                             0
7,8                    0,00254424                             0
